"Story","Title","Result","Date","Stability","Duration (s)"
"Bdd-4","*The user has already logged in*","PENDING","2014-10-03T13:31:17.070Z","0.0","2.33"
"Bdd-4","*The user is not logged in*","PENDING","2014-10-03T13:31:13.915Z","0.0","2.94"
